TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Product Name,StoreName,GroupStore,Type,Latitude,Longitude,Age,Gender,Marital Status,Income
TR11369,328,01/01/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,36,0,Married,"10,53"
TR56601,328,24/12/2022,P9,10000,1,10000,9,Yoghurt,Lingga,Lingga,Modern Trade,-3.654703,128.190643,36,0,Married,"10,53"
TR89012,328,25/03/2022,P5,4200,5,21000,6,Thai Tea,Lingga,Lingga,Modern Trade,-5.135399,119.42379,36,0,Married,"10,53"
TR67395,328,22/01/2022,P8,16000,3,48000,11,Oat,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,36,0,Married,"10,53"
TR45738,328,29/12/2022,P2,3200,3,9600,11,Ginger Candy ,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,36,0,Married,"10,53"
TR5063,328,07/12/2022,P5,4200,4,16800,5,Thai Tea,Bonafid,Gita,General Trade,-7.250445,112.768845,36,0,Married,"10,53"
TR97172,328,21/05/2022,P1,8800,5,44000,1,Choco Bar,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,36,0,Married,"10,53"
TR51183,328,19/11/2022,P5,4200,4,16800,1,Thai Tea,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,36,0,Married,"10,53"
TR57013,328,15/09/2022,P7,9400,6,56400,1,Coffee Candy,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,36,0,Married,"10,53"
TR36491,117,03/01/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,45,1,Married,"12,55"
TR16185,117,22/08/2022,P6,18000,1,18000,12,Cashew,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,45,1,Married,"12,55"
TR28184,117,19/06/2022,P9,10000,4,40000,4,Yoghurt,Gita Ginara,Gita,General Trade,-6.966667,110.416664,45,1,Married,"12,55"
TR42562,117,27/04/2022,P5,4200,3,12600,7,Thai Tea,Buana Indah,Buana,General Trade,3.316694,114.590111,45,1,Married,"12,55"
TR64821,117,04/01/2022,P3,7500,1,7500,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,45,1,Married,"12,55"
TR60324,117,29/07/2022,P7,9400,3,28200,3,Coffee Candy,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,45,1,Married,"12,55"
TR71313,117,21/05/2022,P1,8800,10,88000,8,Choco Bar,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,45,1,Married,"12,55"
TR8324,117,21/09/2022,P8,16000,3,48000,6,Oat,Lingga,Lingga,Modern Trade,-5.135399,119.42379,45,1,Married,"12,55"
TR48461,117,04/01/2022,P5,4200,2,8400,1,Thai Tea,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,45,1,Married,"12,55"
TR4331,335,08/01/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,29,1,Single,"4,74"
TR60742,335,18/09/2022,P4,12000,2,24000,7,Potato Chip,Buana Indah,Buana,General Trade,3.316694,114.590111,29,1,Single,"4,74"
TR87460,335,25/09/2022,P8,16000,3,48000,3,Oat,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,29,1,Single,"4,74"
TR47867,335,29/07/2022,P5,4200,5,21000,3,Thai Tea,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,29,1,Single,"4,74"
TR37109,335,12/02/2022,P7,9400,4,37600,3,Coffee Candy,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,29,1,Single,"4,74"
TR29436,335,02/01/2022,P6,18000,3,54000,3,Cashew,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,29,1,Single,"4,74"
TR97856,335,10/11/2022,P3,7500,4,30000,8,Crackers,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,29,1,Single,"4,74"
TR27862,335,26/12/2022,P1,8800,5,44000,8,Choco Bar,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,29,1,Single,"4,74"
TR46432,335,01/07/2022,P3,7500,1,7500,9,Crackers,Lingga,Lingga,Modern Trade,-3.654703,128.190643,29,1,Single,"4,74"
TR82501,335,23/01/2022,P5,4200,4,16800,13,Thai Tea,Buana,Buana,General Trade,-1.26916,116.825264,29,1,Single,"4,74"
TR95149,335,02/10/2022,P2,3200,3,9600,5,Ginger Candy ,Bonafid,Gita,General Trade,-7.250445,112.768845,29,1,Single,"4,74"
TR6445,181,10/01/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,33,1,Married,"9,94"
TR7826,181,02/01/2022,P1,8800,10,88000,12,Choco Bar,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,33,1,Married,"9,94"
TR42197,181,23/04/2022,P5,4200,4,16800,12,Thai Tea,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,33,1,Married,"9,94"
TR87367,181,03/10/2022,P1,8800,6,52800,10,Choco Bar,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,33,1,Married,"9,94"
TR49164,181,17/07/2022,P10,15000,2,30000,4,Cheese Stick,Gita Ginara,Gita,General Trade,-6.966667,110.416664,33,1,Married,"9,94"
TR4315,181,22/01/2022,P5,4200,5,21000,8,Thai Tea,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,33,1,Married,"9,94"
TR82002,181,21/02/2022,P5,4200,5,21000,6,Thai Tea,Lingga,Lingga,Modern Trade,-5.135399,119.42379,33,1,Married,"9,94"
TR44611,181,28/05/2022,P9,10000,5,50000,5,Yoghurt,Bonafid,Gita,General Trade,-7.250445,112.768845,33,1,Married,"9,94"
TR75889,154,19/01/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,31,0,Married,"8,36"
TR49649,154,12/01/2022,P10,15000,1,15000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,31,0,Married,"8,36"
TR50950,154,20/10/2022,P5,4200,2,8400,4,Thai Tea,Gita Ginara,Gita,General Trade,-6.966667,110.416664,31,0,Married,"8,36"
TR53122,154,31/07/2022,P7,9400,5,47000,4,Coffee Candy,Gita Ginara,Gita,General Trade,-6.966667,110.416664,31,0,Married,"8,36"
TR39362,154,10/10/2022,P2,3200,7,22400,7,Ginger Candy ,Buana Indah,Buana,General Trade,3.316694,114.590111,31,0,Married,"8,36"
TR28178,154,25/08/2022,P2,3200,5,16000,2,Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,31,0,Married,"8,36"
TR83522,154,30/03/2022,P8,16000,1,16000,8,Oat,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,31,0,Married,"8,36"
TR12602,154,30/05/2022,P7,9400,6,56400,13,Coffee Candy,Buana,Buana,General Trade,-1.26916,116.825264,31,0,Married,"8,36"
TR223,154,16/04/2022,P9,10000,3,30000,6,Yoghurt,Lingga,Lingga,Modern Trade,-5.135399,119.42379,31,0,Married,"8,36"
TR86403,154,14/07/2022,P5,4200,4,16800,5,Thai Tea,Bonafid,Gita,General Trade,-7.250445,112.768845,31,0,Married,"8,36"
TR64532,154,25/05/2022,P10,15000,5,75000,1,Cheese Stick,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,31,0,Married,"8,36"
TR20045,243,20/01/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,38,0,Married,"3,34"
TR67563,243,16/08/2022,P10,15000,4,60000,12,Cheese Stick,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,38,0,Married,"3,34"
TR65088,243,26/12/2022,P8,16000,3,48000,10,Oat,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,38,0,Married,"3,34"
TR25297,243,29/12/2022,P8,16000,2,32000,10,Oat,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,38,0,Married,"3,34"
TR29805,243,06/09/2022,P4,12000,2,24000,14,Potato Chip,Priangan,Priangan,Modern Trade,-5.45,105.26667,38,0,Married,"3,34"
TR96662,243,04/08/2022,P10,15000,1,15000,4,Cheese Stick,Gita Ginara,Gita,General Trade,-6.966667,110.416664,38,0,Married,"3,34"
TR37381,243,04/01/2022,P10,15000,2,30000,7,Cheese Stick,Buana Indah,Buana,General Trade,3.316694,114.590111,38,0,Married,"3,34"
TR91764,243,01/12/2022,P3,7500,3,22500,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,38,0,Married,"3,34"
TR13113,243,23/03/2022,P10,15000,4,60000,3,Cheese Stick,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,38,0,Married,"3,34"
TR54423,243,31/12/2022,P10,15000,5,75000,3,Cheese Stick,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,38,0,Married,"3,34"
TR49377,243,17/03/2022,P2,3200,6,19200,3,Ginger Candy ,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,38,0,Married,"3,34"
TR32730,243,21/01/2022,P6,18000,1,18000,9,Cashew,Lingga,Lingga,Modern Trade,-3.654703,128.190643,38,0,Married,"3,34"
TR80719,243,31/03/2022,P7,9400,3,28200,13,Coffee Candy,Buana,Buana,General Trade,-1.26916,116.825264,38,0,Married,"3,34"
TR40337,168,23/01/2022,P3,7500,2,15000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,27,0,Married,"4,88"
TR15338,168,01/07/2022,P9,10000,7,70000,10,Yoghurt,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,27,0,Married,"4,88"
TR47934,168,23/03/2022,P8,16000,1,16000,2,Oat,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,27,0,Married,"4,88"
TR80981,168,18/06/2022,P9,10000,5,50000,3,Yoghurt,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,27,0,Married,"4,88"
TR95096,168,12/08/2022,P5,4200,3,12600,3,Thai Tea,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,27,0,Married,"4,88"
TR78366,168,31/01/2022,P7,9400,6,56400,3,Coffee Candy,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,27,0,Married,"4,88"
TR20946,168,07/05/2022,P2,3200,5,16000,3,Ginger Candy ,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,27,0,Married,"4,88"
TR74280,168,17/03/2022,P2,3200,6,19200,9,Ginger Candy ,Lingga,Lingga,Modern Trade,-3.654703,128.190643,27,0,Married,"4,88"
TR3631,168,12/07/2022,P4,12000,3,36000,13,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825264,27,0,Married,"4,88"
TR37247,168,27/07/2022,P9,10000,6,60000,11,Yoghurt,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,27,0,Married,"4,88"
TR23232,168,11/01/2022,P2,3200,6,19200,1,Ginger Candy ,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,27,0,Married,"4,88"
TR91120,114,23/01/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,22,0,Single,"3,14"
TR99856,114,29/03/2022,P5,4200,5,21000,12,Thai Tea,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,22,0,Single,"3,14"
TR90008,114,26/03/2022,P5,4200,2,8400,14,Thai Tea,Priangan,Priangan,Modern Trade,-5.45,105.26667,22,0,Single,"3,14"
TR41021,114,06/03/2022,P2,3200,4,12800,2,Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,22,0,Single,"3,14"
TR99770,114,14/08/2022,P1,8800,10,88000,3,Choco Bar,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,22,0,Single,"3,14"
TR77372,114,12/12/2022,P9,10000,7,70000,8,Yoghurt,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,22,0,Single,"3,14"
TR59782,114,17/02/2022,P10,15000,1,15000,9,Cheese Stick,Lingga,Lingga,Modern Trade,-3.654703,128.190643,22,0,Single,"3,14"
